-1.00E-01	-1.03E+00	-9.46E-02	-2.43E-02		DDD
-9.67E-02	-9.93E-01	-1.00E-01	-2.60E-02		
-9.33E-02	-9.61E-01	-9.30E-02	-1.54E-02		
-9.00E-02	-9.28E-01	-1.05E-01	-4.31E-02		
-8.67E-02	-8.94E-01	-1.16E-01	-3.73E-02		
-8.33E-02	-8.62E-01	-9.51E-02	1.74E-03		
-8.00E-02	-8.29E-01	-4.65E-02	1.95E-02		
-7.67E-02	-7.94E-01	-6.83E-02	-2.23E-02		
-7.33E-02	-7.62E-01	-1.08E-01	-6.04E-02		
-7.00E-02	-7.29E-01	-1.12E-01	-2.50E-02		
-6.67E-02	-6.95E-01	-9.26E-02	9.46E-03		
-6.33E-02	-6.63E-01	-1.13E-02	-7.81E-03		
-6.00E-02	-6.30E-01	-9.34E-02	-3.89E-02		
-5.67E-02	-5.96E-01	-1.02E-01	-6.12E-03		
-5.33E-02	-5.64E-01	-4.74E-02	-2.01E-02		
-5.00E-02	-5.30E-01	-4.15E-02	-4.08E-02		
-4.67E-02	-4.96E-01	-1.05E-01	-1.54E-02		
-4.33E-02	-4.64E-01	2.85E-03	-6.91E-03		
-4.00E-02	-4.31E-01	-1.10E-01	-3.87E-02		
-3.67E-02	-3.97E-01	-5.17E-02	2.98E-03		
-3.33E-02	-3.65E-01	-6.28E-03	-3.07E-02		
-3.00E-02	-3.32E-01	-8.87E-02	-2.56E-02		
-2.67E-02	-2.98E-01	-8.49E-02	-1.43E-03		
-2.33E-02	-2.64E-01	-5.57E-02	7.61E-03		
-2.00E-02	-2.32E-01	-1.10E-02	9.92E-04		
-1.67E-02	-1.98E-01	-1.20E-02	-2.69E-02		
-1.33E-02	-1.65E-01	-8.30E-03	-3.83E-02		
-1.00E-02	-1.33E-01	-5.57E-02	-4.82E-02		
-6.67E-03	-9.91E-02	-7.42E-02	-2.35E-02		
-3.33E-03	-6.64E-02	-2.18E-02	-1.17E-02		
-6.33E-17	-3.35E-02	-1.33E-02	-1.65E-02		
3.33E-03	-1.53E-03	-4.54E-02	-2.84E-02		
6.67E-03	3.12E-02	-4.59E-02	-1.28E-02		
1.00E-02	6.49E-02	-5.19E-02	-3.48E-03		
1.33E-02	9.76E-02	-4.18E-02	6.35E-03		
1.67E-02	1.30E-01	4.15E-02	1.99E-02		
2.00E-02	1.64E-01	-1.41E-02	-4.52E-02		
2.33E-02	1.97E-01	9.01E-03	-4.37E-02		
2.67E-02	2.30E-01	-5.59E-02	-5.93E-02		
3.00E-02	2.64E-01	-4.03E-02	-2.33E-02		
3.33E-02	2.97E-01	2.03E-02	1.79E-02		
3.67E-02	3.29E-01	2.80E-02	7.64E-03		
4.00E-02	3.63E-01	-4.80E-02	-5.41E-02		
4.33E-02	3.96E-01	6.32E-02	2.07E-02		
4.67E-02	4.28E-01	1.95E-02	-3.60E-02		
5.00E-02	4.62E-01	-4.82E-02	-6.18E-02		
5.33E-02	4.96E-01	4.25E-02	1.32E-02		
5.67E-02	5.28E-01	4.27E-02	-2.87E-03		
6.00E-02	5.62E-01	-2.13E-02	-5.27E-02		
6.33E-02	5.95E-01	1.06E-02	-2.19E-02		
6.67E-02	6.28E-01	7.67E-02	1.14E-02		
7.00E-02	6.61E-01	1.43E-02	-3.96E-02		
7.33E-02	6.94E-01	-1.80E-02	-4.76E-02		
7.67E-02	7.27E-01	5.48E-02	2.93E-03		
8.00E-02	7.61E-01	7.94E-02	-1.50E-03		
8.33E-02	7.94E-01	3.50E-02	-4.63E-02		
8.67E-02	8.26E-01	-1.71E-02	-5.92E-02		
9.00E-02	8.60E-01	5.61E-02	8.42E-03		
9.33E-02	8.93E-01	8.25E-02	6.16E-03		
9.67E-02	9.25E-01	5.60E-02	-3.54E-02		
1.00E-01	9.59E-01	-2.60E-03	-5.95E-02		
