0,9.8,5.4,0,0
0.1,30,16.7,20.2,11.2
0.2,46,25.6,36.2,20.1
0.3,63,35.0,53.2,29.6
0.4,84,46.7,74.2,41.2
0.5,103,57.2,93.2,51.8
0.6,122,67.8,112.2,62.3
0.7,141,78.3,131.2,72.9
0.8,160,88.9,150.2,83.4
0.9,177,98.3,167.2,92.9
1,197,109.4,187.2,104
1.1,215,119.4,205.2,114
1.2,234,130.0,224.2,125
